id,n_iso,n_fp,sdf_min
COMMERCIALcastle_mesh0365,779,333,-0.0502
COMMERCIALcastle_mesh0904,1200,335,-0.0353
COMMERCIALcastle_mesh2985,5621,1544,-0.0628
COMMERCIALchurch_mesh3158,627,169,-0.0529
COMMERCIALcity_hall_mesh0106,2080,277,-0.1916
COMMERCIALcity_hall_mesh0258,2386,689,-0.0604
COMMERCIALcity_hall_mesh0527,352,314,-0.0086
COMMERCIALfactory_mesh1454,15087,1391,-0.2404
COMMERCIALhotel_building_mesh0075,40318,1777,-0.3641
COMMERCIALhotel_building_mesh0130,12889,1507,-0.1805
COMMERCIALhotel_building_mesh0139,3434,334,-0.0821
COMMERCIALhotel_building_mesh0162,266,189,-0.0099
COMMERCIALhotel_building_mesh0215,5647,586,-0.1264
COMMERCIALhotel_building_mesh0295,7316,401,-0.2516
COMMERCIALhotel_building_mesh0302,159,112,-0.0134
COMMERCIALhotel_building_mesh0328,4007,915,-0.2076
COMMERCIALhotel_building_mesh0461,251,116,-0.0112
COMMERCIALhotel_building_mesh0504,4107,433,-0.0383
COMMERCIALhotel_building_mesh0520,973,84,-0.0680
COMMERCIALhotel_building_mesh0555,50,35,-0.0106
COMMERCIALhotel_building_mesh0678,3407,173,-0.0783
COMMERCIALhotel_building_mesh0900,1408,56,-0.0764
COMMERCIALhotel_building_mesh1154,177,103,-0.0043
COMMERCIALhotel_building_mesh1211,10087,1333,-0.1338
COMMERCIALhotel_building_mesh1240,17984,795,-0.2765
COMMERCIALhotel_building_mesh1285,2128,165,-0.1079
COMMERCIALhouse_mesh0798,14092,1215,-0.2808
COMMERCIALhouse_mesh2682,518,194,-0.0133
COMMERCIALhouse_mesh3602,360,196,-0.0180
COMMERCIALhouse_mesh5334,9703,766,-0.2598
COMMERCIALhouse_mesh6281,757,119,-0.0193
COMMERCIALhouse_mesh6570,4593,2107,-0.0775
COMMERCIALhouse_mesh6823,2986,865,-0.0723
COMMERCIALhouse_mesh7536,704,509,-0.0173
COMMERCIALhouse_mesh7736,4121,314,-0.1123
COMMERCIALmuseum_mesh0025,387,85,-0.0241
COMMERCIALmuseum_mesh0079,2653,429,-0.0959
COMMERCIALmuseum_mesh0112,237,127,-0.0338
COMMERCIALmuseum_mesh0336,6444,941,-0.1001
COMMERCIALmuseum_mesh0339,167,112,-0.0124
COMMERCIALmuseum_mesh1018,15739,1444,-0.2801
COMMERCIALmuseum_mesh2219,149,86,-0.0083
COMMERCIALoffice_building_mesh0028,4265,1191,-0.0276
COMMERCIALoffice_building_mesh0038,2064,491,-0.0766
COMMERCIALoffice_building_mesh0057,864,612,-0.0184
COMMERCIALoffice_building_mesh0126,6847,297,-0.1380
COMMERCIALoffice_building_mesh0160,351,120,-0.0134
COMMERCIALoffice_building_mesh0166,1789,520,-0.0154
COMMERCIALoffice_building_mesh0197,7350,650,-0.2259
COMMERCIALoffice_building_mesh0234,8079,239,-0.2085
COMMERCIALoffice_building_mesh0246,5717,223,-0.1285
COMMERCIALoffice_building_mesh0249,332,162,-0.0084
COMMERCIALoffice_building_mesh0274,10853,276,-0.2512
COMMERCIALoffice_building_mesh0330,206,125,-0.0351
COMMERCIALoffice_building_mesh0394,1507,739,-0.0375
COMMERCIALoffice_building_mesh0490,426,181,-0.0392
COMMERCIALoffice_building_mesh0512,469,229,-0.0154
COMMERCIALoffice_building_mesh0604,11998,306,-0.2234
COMMERCIALoffice_building_mesh0640,11,6,-0.0296
COMMERCIALoffice_building_mesh0781,83,59,-0.0068
