index,osm_id,rank,candidate_id,retrieval_score,rerank_score,chosen_by_pipeline
0,OSM_955677965,1,RESIDENTIALhouse_mesh8138,0.980003,0.881400,0
0,OSM_955677965,2,RESIDENTIALhouse_mesh3714,0.979834,0.917532,1
0,OSM_955677965,3,RESIDENTIALhouse_mesh9582,0.977384,0.904370,0
1,OSM_955677968,1,RESIDENTIALhouse_mesh5258,0.994949,0.966654,1
1,OSM_955677968,2,RESIDENTIALhouse_mesh4123,0.994772,0.963671,0
1,OSM_955677968,3,RESIDENTIALhouse_mesh0642,0.993122,0.957120,0
2,OSM_955889857,1,RESIDENTIALhouse_mesh9516,0.989572,0.881552,0
2,OSM_955889857,2,RESIDENTIALhouse_mesh4858,0.988658,0.908315,1
2,OSM_955889857,3,RESIDENTIALhouse_mesh3518,0.981781,0.907249,0
3,OSM_955677971,1,RESIDENTIALhouse_mesh5503,0.992821,0.968475,1
3,OSM_955677971,2,RESIDENTIALhouse_mesh2714,0.991484,0.956090,0
3,OSM_955677971,3,RESIDENTIALhouse_mesh8951,0.986805,0.959816,0
