corpus_index,split,osm_id,class,area_m2,height_m,selected_candidate_id,quality_status,quality_flags,include_as_positive,include_as_negative,source_records_jsonl
0,smoke12,OSM_302408405,RESIDENTIALhouse,2475.915,17.500,RESIDENTIALhouse_mesh7919,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
1,smoke12,OSM_860916350,RESIDENTIALhouse,2162.498,17.500,RESIDENTIALhouse_mesh4188,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
2,smoke12,OSM_71497515,RESIDENTIALhouse,1978.332,17.500,RESIDENTIALhouse_mesh9657,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
3,smoke12,OSM_116427240,RESIDENTIALhouse,1709.161,14.000,RESIDENTIALhouse_mesh5957,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
4,smoke12,OSM_159752237,RESIDENTIALhouse,1687.869,14.000,RESIDENTIALhouse_mesh7024,fail,raw_flat|raw_high_flatness,0,1,outputs/osm_generation_dataset_12/smoke12_records.jsonl
5,smoke12,OSM_302408404,RESIDENTIALhouse,1402.088,14.000,RESIDENTIALhouse_mesh8294,fail,placed_flat,0,1,outputs/osm_generation_dataset_12/smoke12_records.jsonl
6,smoke12,OSM_116427239,RESIDENTIALhouse,1355.789,14.000,RESIDENTIALhouse_mesh8733,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
7,smoke12,OSM_955677965,RESIDENTIALhouse,1095.329,14.000,RESIDENTIALhouse_mesh2592,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
8,smoke12,OSM_71497499,COMMERCIALoffice_building,1021.392,17.500,COMMERCIALoffice_building_mesh1616,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
9,smoke12,OSM_1093265929,RESIDENTIALhouse,624.849,10.500,RESIDENTIALhouse_mesh0230,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
10,smoke12,OSM_955889856,RESIDENTIALhouse,553.237,10.500,RESIDENTIALhouse_mesh4151,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
11,smoke12,OSM_955889852,RESIDENTIALhouse,399.077,8.500,RESIDENTIALhouse_mesh9657,pass,,1,0,outputs/osm_generation_dataset_12/smoke12_records.jsonl
12,north8,OSM_71497515,RESIDENTIALhouse,1978.286,17.500,RESIDENTIALhouse_mesh9657,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
13,north8,OSM_159752237,RESIDENTIALhouse,1687.829,14.000,RESIDENTIALhouse_mesh7024,fail,raw_flat|raw_high_flatness,0,1,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
14,north8,OSM_764679346,RESIDENTIALhouse,959.084,14.000,RESIDENTIALhouse_mesh4858,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
15,north8,OSM_955889856,RESIDENTIALhouse,553.224,10.500,RESIDENTIALhouse_mesh4151,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
16,north8,OSM_860910546,RESIDENTIALhouse,548.657,10.500,RESIDENTIALhouse_mesh0875,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
17,north8,OSM_860910542,RESIDENTIALhouse,526.365,10.500,RESIDENTIALhouse_mesh7919,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
18,north8,OSM_860910545,RESIDENTIALhouse,424.655,10.500,RESIDENTIALhouse_mesh7919,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
19,north8,OSM_860910541,RESIDENTIALhouse,345.873,8.500,RESIDENTIALhouse_mesh5258,pass,,1,0,outputs/osm_generation_dataset_tile_north8/north8_records.jsonl
20,east6,OSM_955677965,RESIDENTIALhouse,1095.329,14.000,RESIDENTIALhouse_mesh2592,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
21,east6,OSM_955677968,RESIDENTIALhouse,981.097,14.000,RESIDENTIALhouse_mesh5258,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
22,east6,OSM_955889857,RESIDENTIALhouse,874.185,10.500,RESIDENTIALhouse_mesh4858,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
23,east6,OSM_955677971,RESIDENTIALhouse,760.520,10.500,RESIDENTIALhouse_mesh5503,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
24,east6,OSM_955889856,RESIDENTIALhouse,553.237,10.500,RESIDENTIALhouse_mesh4151,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
25,east6,OSM_283273595,RESIDENTIALhouse,537.804,10.500,RESIDENTIALhouse_mesh7919,pass,,1,0,outputs/osm_batch_lafayette_v2/east/dataset/east6_records.jsonl
26,west6,OSM_158307997,RESIDENTIALhouse,6773.366,17.500,RESIDENTIALhouse_mesh9657,fail,placed_flat,0,1,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
27,west6,OSM_117396593,PUBLICschool_building,2469.378,21.000,PUBLICschool_building_mesh0260,pass,,1,0,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
28,west6,OSM_71497515,RESIDENTIALhouse,1978.332,17.500,RESIDENTIALhouse_mesh9657,pass,,1,0,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
29,west6,OSM_116427240,RESIDENTIALhouse,1709.161,14.000,RESIDENTIALhouse_mesh5957,pass,,1,0,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
30,west6,OSM_116427239,RESIDENTIALhouse,1355.789,14.000,RESIDENTIALhouse_mesh8733,pass,,1,0,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
31,west6,OSM_116427224,COMMERCIALoffice_building,1144.556,17.500,COMMERCIALoffice_building_mesh0856,pass,,1,0,outputs/osm_batch_lafayette_v2/west/dataset/west6_records.jsonl
32,south6,OSM_1424680532,RESIDENTIALhouse,5238.928,21.000,RESIDENTIALhouse_mesh0166,fail,placed_flat,0,1,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
33,south6,OSM_843163261,RESIDENTIALhouse,3400.604,17.500,RESIDENTIALhouse_mesh0166,pass,,1,0,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
34,south6,OSM_604071163,RESIDENTIALhouse,2246.362,56.000,RESIDENTIALhouse_mesh0642,pass,,1,0,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
35,south6,OSM_116427251,RESIDENTIALhouse,1526.942,14.000,RESIDENTIALhouse_mesh5826,pass,,1,0,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
36,south6,OSM_886359912,RESIDENTIALhouse,1180.221,14.000,RESIDENTIALhouse_mesh7024,fail,raw_flat|raw_high_flatness,0,1,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
37,south6,OSM_301931864,RESIDENTIALhouse,1063.838,14.000,RESIDENTIALhouse_mesh7919,pass,,1,0,outputs/osm_batch_lafayette_v2/south/dataset/south6_records.jsonl
38,northeast6,OSM_581739532,RESIDENTIALhouse,1223.817,14.000,RESIDENTIALhouse_mesh7024,fail,raw_flat|raw_high_flatness,0,1,outputs/osm_batch_lafayette_v2/northeast/dataset/northeast6_records.jsonl
39,northeast6,OSM_581700404,RESIDENTIALhouse,987.380,14.000,RESIDENTIALhouse_mesh9777,pass,,1,0,outputs/osm_batch_lafayette_v2/northeast/dataset/northeast6_records.jsonl
