selected_candidate_id,count
RESIDENTIALhouse_mesh7919,5
RESIDENTIALhouse_mesh9657,5
RESIDENTIALhouse_mesh7024,4
RESIDENTIALhouse_mesh4151,3
RESIDENTIALhouse_mesh4858,3
RESIDENTIALhouse_mesh4188,2
RESIDENTIALhouse_mesh5957,2
RESIDENTIALhouse_mesh8733,2
RESIDENTIALhouse_mesh2592,2
RESIDENTIALhouse_mesh5258,2
RESIDENTIALhouse_mesh5503,2
RESIDENTIALhouse_mesh0166,2
RESIDENTIALhouse_mesh8294,1
COMMERCIALoffice_building_mesh1616,1
RESIDENTIALhouse_mesh0230,1
RESIDENTIALhouse_mesh0875,1
PUBLICschool_building_mesh0260,1
COMMERCIALoffice_building_mesh0856,1
RESIDENTIALhouse_mesh0642,1
RESIDENTIALhouse_mesh5826,1
RESIDENTIALhouse_mesh9777,1
RESIDENTIALhouse_mesh4264,1
