index,osm_id,class,retrieval_policy,rank,candidate_id,retrieval_score,rerank_score,target_aspect,candidate_aspect,target_height_ratio,candidate_height_ratio,aspect_penalty,height_penalty,candidate_verts,candidate_faces,chosen
0,OSM_955677965,RESIDENTIALhouse,rerank,1,RESIDENTIALhouse_mesh8138,0.9800029993057251,0.881399953355458,2.6874723548282997,1.073408141391605,0.12313138964431898,0.43370081307439934,0.9177623414171695,1.2591029318446814,125670,41890,0
0,OSM_955677965,RESIDENTIALhouse,rerank,2,RESIDENTIALhouse_mesh3714,0.9798339605331421,0.9175322621902067,2.6874723548282997,1.7970285636352785,0.12313138964431898,0.5547238902960792,0.402466603972033,1.5052185012586365,40008,13336,0
0,OSM_955677965,RESIDENTIALhouse,rerank,3,RESIDENTIALhouse_mesh9582,0.9773836135864258,0.904370468428181,2.6874723548282997,1.4718463383110916,0.12313138964431898,0.4264842018398125,0.6020834817019735,1.2423233311043438,51573,17191,0
0,OSM_955677965,RESIDENTIALhouse,rerank,4,RESIDENTIALhouse_mesh4264,0.9747757911682129,0.9114291278505018,2.6874723548282997,1.6562009419152275,0.12313138964431898,0.42169668246445496,0.4840747164873542,1.2310342999361397,63075,21025,0
0,OSM_955677965,RESIDENTIALhouse,rerank,5,RESIDENTIALhouse_mesh2592,0.9725126624107361,0.9181244774367807,2.6874723548282997,1.778598251525092,0.12313138964431898,0.3583675138425846,0.41277555190490756,1.0683070410781352,35424,11808,1
1,OSM_955677968,RESIDENTIALhouse,rerank,1,RESIDENTIALhouse_mesh5258,0.994949221611023,0.9666544116429012,1.3696913989326813,1.5419570976250265,0.14297748964110682,0.3663392165046807,0.1184669939897041,0.9408725224472753,26907,8969,1
1,OSM_955677968,RESIDENTIALhouse,rerank,2,RESIDENTIALhouse_mesh4123,0.9947716593742371,0.9636709705242485,1.3696913989326813,1.5070832914699084,0.14297748964110682,0.461904761904762,0.09559072962576765,1.172671523996356,386253,128751,0
1,OSM_955677968,RESIDENTIALhouse,rerank,3,RESIDENTIALhouse_mesh0642,0.9931216835975647,0.9571199585509523,1.3696913989326813,1.2890706685528015,0.14297748964110682,0.6786583329357317,0.060663911434911275,1.5574306065909678,37425,12475,0
1,OSM_955677968,RESIDENTIALhouse,rerank,4,RESIDENTIALhouse_mesh1146,0.9930369257926941,0.9658556920773415,1.3696913989326813,1.4733727810650887,0.14297748964110682,0.4156626506024096,0.07296872332911815,1.0671867924511576,60243,20081,0
1,OSM_955677968,RESIDENTIALhouse,rerank,5,RESIDENTIALhouse_mesh9153,0.992753803730011,0.9611156939236076,1.3696913989326813,1.1730041088197847,0.14297748964110682,0.3741000033179601,0.15501738571714638,0.9618359474515847,28938,9646,0
2,OSM_955889857,RESIDENTIALhouse,rerank,1,RESIDENTIALhouse_mesh9516,0.9895722270011902,0.8815523597547976,3.4014040973349906,1.1725568394252852,0.12500252861895614,0.3912398710376208,1.0650016188928662,1.1409868867481605,30159,10053,0
2,OSM_955889857,RESIDENTIALhouse,rerank,2,RESIDENTIALhouse_mesh4858,0.9886576533317566,0.9083154891028996,3.4014040973349906,1.8946181818181815,0.12500252861895614,0.6683140762350774,0.5851709851120274,1.6764242709947415,144309,48103,1
2,OSM_955889857,RESIDENTIALhouse,rerank,3,RESIDENTIALhouse_mesh3518,0.9817805290222168,0.9072485520298041,3.4014040973349906,1.8993710691823902,0.12500252861895614,0.5048547739479585,0.582665501023326,1.3959368455273307,67758,22586,0
2,OSM_955889857,RESIDENTIALhouse,rerank,4,RESIDENTIALhouse_mesh8138,0.9811010360717773,0.8639526528196065,3.4014040973349906,1.073408141391605,0.12500252861895614,0.43370081307439934,1.1533495507697762,1.2440209595294347,125670,41890,0
2,OSM_955889857,RESIDENTIALhouse,rerank,5,RESIDENTIALhouse_mesh2592,0.9809597730636597,0.9080262507878007,3.4014040973349906,1.778598251525092,0.12500252861895614,0.3583675138425846,0.6483627612575142,1.0532250687628884,35424,11808,0
3,OSM_955677971,RESIDENTIALhouse,rerank,1,RESIDENTIALhouse_mesh5503,0.992821216583252,0.968475125537966,1.1357686925002144,1.0670110209617556,0.14955818548673408,0.393545440706348,0.062448382619472935,0.9675110217864022,25623,8541,1
3,OSM_955677971,RESIDENTIALhouse,rerank,2,RESIDENTIALhouse_mesh2714,0.9914841651916504,0.9560901739691711,1.1357686925002144,1.2222222222222223,0.14955818548673408,0.6545454545454545,0.0733610116525478,1.4762555145137737,31029,10343,0
3,OSM_955677971,RESIDENTIALhouse,rerank,3,RESIDENTIALhouse_mesh8951,0.9868053197860718,0.9598155103001597,1.1357686925002144,1.1071602532878713,0.14955818548673408,0.5206775186977562,0.025511276975993955,1.24744536639163,138630,46210,0
3,OSM_955677971,RESIDENTIALhouse,rerank,4,RESIDENTIALhouse_mesh2487,0.9856685400009155,0.9654629649485523,1.1357686925002144,1.2098348140148711,0.14955818548673408,0.3190244270774342,0.06317414913662377,0.7575821560716621,138993,46331,0
3,OSM_955677971,RESIDENTIALhouse,rerank,5,RESIDENTIALhouse_mesh0642,0.9847825169563293,0.944404922085476,1.1357686925002144,1.2890706685528015,0.14955818548673408,0.6786583329357317,0.12661186296800117,1.512432291670661,37425,12475,0
